,100,163,268,439,719,1178,1930,3162,5179,8483,13894,22758,37275,61054,100000
0,1.639,1.6829999999999998,1.43,1.133,1.5839999999999999,1.6280000000000001,1.441,1.529,1.397,1.914,1.551,1.529,1.298,1.4629999999999999,1.639
1,1.727,1.573,1.452,1.166,1.705,1.628,1.353,1.496,1.474,2.035,1.375,1.595,1.353,1.452,1.617
2,1.749,1.419,1.397,1.177,1.606,1.661,1.595,1.617,1.496,1.947,1.551,1.573,1.397,1.43,1.617
3,1.441,1.804,1.507,1.166,1.738,1.54,1.43,1.386,1.551,1.914,1.529,1.551,1.254,1.463,1.529
4,1.749,1.804,1.199,1.1,1.573,1.705,1.606,1.397,1.419,1.98,1.65,1.639,1.254,1.43,1.837
5,1.694,1.925,1.474,1.188,1.595,1.584,1.474,1.628,1.507,1.815,1.496,1.54,1.287,1.672,1.716
6,1.716,2.002,1.309,1.012,1.584,1.716,1.507,1.496,1.243,1.881,1.529,1.639,1.177,1.485,1.551
7,1.639,1.54,1.364,1.265,1.672,1.441,1.529,1.65,1.342,1.936,1.485,1.573,1.364,1.551,1.606
8,1.562,1.903,1.463,1.144,1.595,1.65,1.254,1.518,1.54,1.87,1.617,1.639,1.155,1.364,1.661
9,1.716,1.727,1.463,1.067,1.408,1.419,1.419,1.298,1.397,1.903,1.54,1.617,1.166,1.254,1.573
10,1.815,1.672,1.287,1.1,1.694,1.419,1.397,1.507,1.298,1.87,1.518,1.551,1.287,1.32,1.694
11,1.738,1.727,1.232,1.111,1.518,1.694,1.452,1.54,1.452,1.738,1.881,1.606,1.177,1.65,1.584
12,1.573,1.925,1.441,1.067,1.507,1.474,1.496,1.419,1.309,2.057,1.474,1.485,1.276,1.331,1.65
13,1.683,1.771,1.122,1.177,1.584,1.584,1.617,1.628,1.419,1.782,1.529,1.474,1.287,1.397,1.628
14,1.76,1.518,1.606,1.155,1.463,1.749,1.518,1.507,1.375,1.98,1.265,1.463,1.177,1.628,1.683
15,1.452,1.727,1.397,1.232,1.507,1.485,1.276,1.529,1.573,2.024,1.628,1.573,1.089,1.485,1.628
16,1.672,1.573,1.375,1.1,1.672,1.54,1.529,1.529,1.331,2.156,1.573,1.485,1.463,1.276,1.595
17,1.408,1.782,1.419,1.232,1.628,1.452,1.595,1.562,1.628,1.969,1.54,1.419,1.397,1.331,1.716
18,1.507,1.595,1.375,1.067,1.705,1.474,1.441,1.529,1.43,1.958,1.573,1.463,1.287,1.397,1.562
19,1.661,1.859,1.485,1.232,1.639,1.342,1.419,1.562,1.463,2.002,1.584,1.661,1.474,1.43,1.573
20,1.7269999999999999,1.43,1.133,1.5839999999999999,1.639,1.441,1.529,1.397,1.914,1.551,1.529,1.298,1.4629999999999999,1.639,1.661
21,1.65,1.452,1.166,1.705,1.628,1.353,1.496,1.474,2.035,1.375,1.595,1.353,1.452,1.617,1.551
22,1.441,1.397,1.177,1.606,1.661,1.595,1.617,1.496,1.947,1.551,1.573,1.397,1.43,1.617,1.727
23,1.826,1.507,1.166,1.738,1.551,1.43,1.386,1.551,1.914,1.529,1.551,1.254,1.463,1.529,1.507
24,1.826,1.199,1.1,1.573,1.716,1.606,1.397,1.419,1.98,1.65,1.639,1.254,1.43,1.837,1.716
25,1.958,1.474,1.188,1.595,1.584,1.474,1.628,1.507,1.815,1.496,1.54,1.287,1.672,1.716,1.661
26,2.046,1.309,1.012,1.584,1.727,1.507,1.496,1.243,1.881,1.529,1.639,1.177,1.485,1.551,1.54
27,1.584,1.364,1.265,1.672,1.452,1.529,1.65,1.342,1.936,1.485,1.573,1.364,1.551,1.606,1.738
28,1.958,1.463,1.144,1.595,1.661,1.254,1.518,1.54,1.87,1.617,1.639,1.155,1.364,1.661,1.606
