,100,163,268,439,719,1178,1930,3162,5179,8483,13894,22758,37275,61054,100000
0,1.562,1.6829999999999998,1.551,1.474,1.551,1.3639999999999999,1.606,1.551,1.496,1.529,1.452,1.4080000000000001,1.65,1.43,1.353
1,1.617,1.639,1.639,1.628,1.617,1.364,1.727,1.694,1.562,1.639,1.397,1.177,1.474,1.551,1.232
2,1.463,1.782,1.716,1.485,1.661,1.32,1.705,1.672,1.353,1.496,1.617,1.221,1.551,1.386,1.419
3,1.628,1.584,1.617,1.617,1.507,1.276,1.485,1.606,1.408,1.606,1.265,1.54,1.507,1.397,1.364
4,1.661,1.716,1.419,1.573,1.738,1.441,1.617,1.683,1.54,1.364,1.32,1.298,1.793,1.496,1.32
5,1.749,1.661,1.562,1.496,1.518,1.353,1.54,1.595,1.518,1.54,1.386,1.463,1.683,1.661,1.331
6,1.683,1.716,1.408,1.32,1.584,1.353,1.606,1.859,1.518,1.54,1.672,1.639,1.76,1.386,1.287
7,1.716,1.573,1.617,1.265,1.452,1.364,1.551,1.485,1.562,1.43,1.397,1.474,1.397,1.518,1.375
8,1.595,1.738,1.386,1.672,1.54,1.265,1.584,1.342,1.617,1.749,1.54,1.562,1.628,1.496,1.331
9,1.694,1.716,1.76,1.617,1.584,1.397,1.782,1.573,1.518,1.441,1.628,1.386,1.815,1.408,1.353
10,1.705,1.771,1.628,1.606,1.584,1.452,1.705,1.694,1.463,1.771,1.386,1.353,1.551,1.287,1.463
11,1.529,1.584,1.584,1.65,1.573,1.485,1.463,1.54,1.485,1.452,1.595,1.507,1.496,1.474,1.408
12,1.496,1.639,1.529,1.309,1.738,1.386,1.639,1.639,1.54,1.705,1.617,1.606,1.694,1.639,1.144
13,1.474,1.738,1.408,1.287,1.683,1.584,1.793,1.617,1.496,1.716,1.661,1.397,1.727,1.397,1.452
14,1.804,1.782,1.485,1.43,1.507,1.43,1.606,1.694,1.397,1.76,1.386,1.584,1.848,1.419,1.199
15,1.441,1.782,1.518,1.474,1.507,1.32,1.551,1.452,1.562,1.562,1.353,1.485,1.595,1.309,1.419
16,1.408,1.672,1.485,1.276,1.452,1.342,1.474,1.43,1.496,1.672,1.309,1.452,1.452,1.452,1.331
17,1.694,1.65,1.441,1.43,1.496,1.353,1.518,1.518,1.661,1.353,1.254,1.243,1.716,1.419,1.287
18,1.375,1.562,1.529,1.562,1.496,1.419,1.826,1.496,1.606,1.375,1.32,1.496,1.639,1.716,1.408
19,1.628,1.705,1.562,1.474,1.76,1.441,1.584,1.441,1.32,1.485,1.518,1.364,1.815,1.562,1.144
20,1.705,1.551,1.4849999999999999,1.551,1.3639999999999999,1.606,1.551,1.496,1.529,1.452,1.4080000000000001,1.65,1.43,1.353,1.452
21,1.661,1.639,1.639,1.617,1.364,1.727,1.694,1.562,1.639,1.397,1.177,1.474,1.551,1.232,1.485
22,1.793,1.716,1.529,1.661,1.32,1.705,1.672,1.353,1.496,1.617,1.221,1.551,1.386,1.419,1.518
23,1.606,1.617,1.628,1.507,1.276,1.485,1.606,1.408,1.606,1.265,1.54,1.507,1.397,1.364,1.617
24,1.716,1.419,1.606,1.738,1.441,1.617,1.683,1.54,1.364,1.32,1.298,1.793,1.496,1.32,1.54
25,1.672,1.562,1.507,1.518,1.353,1.54,1.595,1.518,1.54,1.386,1.463,1.683,1.661,1.331,1.353
26,1.738,1.408,1.32,1.584,1.353,1.606,1.859,1.518,1.54,1.672,1.639,1.76,1.386,1.287,1.397
27,1.617,1.617,1.298,1.452,1.364,1.551,1.485,1.562,1.43,1.397,1.474,1.397,1.518,1.375,1.496
28,1.76,1.386,1.705,1.54,1.265,1.584,1.342,1.617,1.749,1.54,1.562,1.628,1.496,1.331,1.331
